Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2018-01-15,LSKUSD,28.64,31.4,28.64,30.95,158.36,4811.34
2018-01-14,LSKUSD,30.05,30.85,28.4,28.64,343.05,9944.19
2018-01-13,LSKUSD,32.1,32.31,30.01,30.05,636.13,19497.7
2018-01-12,LSKUSD,26.6,34,26,32.1,874.67,26631.06
2018-01-11,LSKUSD,32.33,32.33,26.5,26.6,1226.74,34692.21
2018-01-10,LSKUSD,31.52,39.9,29.61,32.33,1070.95,34699.84
2018-01-09,LSKUSD,32.35,39.04,30.8,31.52,1085.18,35987.69
2018-01-08,LSKUSD,34.65,36.76,30.94,32.35,706.82,23003.11
2018-01-07,LSKUSD,31.4,42,30.55,34.65,1287.87,46995.72
2018-01-06,LSKUSD,25.37,32.9,22.1,31.4,1326.93,36615.22
2018-01-05,LSKUSD,23.85,27.5,22.52,25.37,1037.39,26227.21
2018-01-04,LSKUSD,22.01,24.88,20.8,23.85,503.91,11929.25
2018-01-03,LSKUSD,24.14,24.78,20.76,22.01,528.58,11906.75
2018-01-02,LSKUSD,24,24.97,20.52,24.14,762.61,17645.52
2018-01-01,LSKUSD,22.01,24.5,20.02,24,125.28,2946.02
2017-12-31,LSKUSD,21.21,25.5,18.89,22.01,1294.75,28651.88
